Date_measurement,RNA_flow_per_capita_VR01_lowess_95_perc_ci_bottom,RNA_flow_per_capita_VR01_lowess_95_perc_ci_top,RNA_flow_per_capita_VR01_lowess,RNA_flow_per_capita_VR02_lowess_95_perc_ci_bottom,RNA_flow_per_capita_VR02_lowess_95_perc_ci_top,RNA_flow_per_capita_VR02_lowess,RNA_flow_per_capita_VR03_lowess_95_perc_ci_bottom,RNA_flow_per_capita_VR03_lowess_95_perc_ci_top,RNA_flow_per_capita_VR03_lowess,RNA_flow_per_capita_VR04_lowess_95_perc_ci_bottom,RNA_flow_per_capita_VR04_lowess_95_perc_ci_top,RNA_flow_per_capita_VR04_lowess,RNA_flow_per_capita_VR05_lowess_95_perc_ci_bottom,RNA_flow_per_capita_VR05_lowess_95_perc_ci_top,RNA_flow_per_capita_VR05_lowess,RNA_flow_per_capita_VR06_lowess_95_perc_ci_bottom,RNA_flow_per_capita_VR06_lowess_95_perc_ci_top,RNA_flow_per_capita_VR06_lowess,RNA_flow_per_capita_VR07_lowess_95_perc_ci_bottom,RNA_flow_per_capita_VR07_lowess_95_perc_ci_top,RNA_flow_per_capita_VR07_lowess,RNA_flow_per_capita_VR08_lowess_95_perc_ci_bottom,RNA_flow_per_capita_VR08_lowess_95_perc_ci_top,RNA_flow_per_capita_VR08_lowess,RNA_flow_per_capita_VR09_lowess_95_perc_ci_bottom,RNA_flow_per_capita_VR09_lowess_95_perc_ci_top,RNA_flow_per_capita_VR09_lowess,RNA_flow_per_capita_VR10_lowess_95_perc_ci_bottom,RNA_flow_per_capita_VR10_lowess_95_perc_ci_top,RNA_flow_per_capita_VR10_lowess,RNA_flow_per_capita_VR11_lowess_95_perc_ci_bottom,RNA_flow_per_capita_VR11_lowess_95_perc_ci_top,RNA_flow_per_capita_VR11_lowess,RNA_flow_per_capita_VR12_lowess_95_perc_ci_bottom,RNA_flow_per_capita_VR12_lowess_95_perc_ci_top,RNA_flow_per_capita_VR12_lowess,RNA_flow_per_capita_VR13_lowess_95_perc_ci_bottom,RNA_flow_per_capita_VR13_lowess_95_perc_ci_top,RNA_flow_per_capita_VR13_lowess,RNA_flow_per_capita_VR14_lowess_95_perc_ci_bottom,RNA_flow_per_capita_VR14_lowess_95_perc_ci_top,RNA_flow_per_capita_VR14_lowess,RNA_flow_per_capita_VR15_lowess_95_perc_ci_bottom,RNA_flow_per_capita_VR15_lowess_95_perc_ci_top,RNA_flow_per_capita_VR15_lowess,RNA_flow_per_capita_VR16_lowess_95_perc_ci_bottom,RNA_flow_per_capita_VR16_lowess_95_perc_ci_top,RNA_flow_per_capita_VR16_lowess,RNA_flow_per_capita_VR17_lowess_95_perc_ci_bottom,RNA_flow_per_capita_VR17_lowess_95_perc_ci_top,RNA_flow_per_capita_VR17_lowess,RNA_flow_per_capita_VR18_lowess_95_perc_ci_bottom,RNA_flow_per_capita_VR18_lowess_95_perc_ci_top,RNA_flow_per_capita_VR18_lowess,RNA_flow_per_capita_VR19_lowess_95_perc_ci_bottom,RNA_flow_per_capita_VR19_lowess_95_perc_ci_top,RNA_flow_per_capita_VR19_lowess,RNA_flow_per_capita_VR20_lowess_95_perc_ci_bottom,RNA_flow_per_capita_VR20_lowess_95_perc_ci_top,RNA_flow_per_capita_VR20_lowess,RNA_flow_per_capita_VR21_lowess_95_perc_ci_bottom,RNA_flow_per_capita_VR21_lowess_95_perc_ci_top,RNA_flow_per_capita_VR21_lowess,RNA_flow_per_capita_VR22_lowess_95_perc_ci_bottom,RNA_flow_per_capita_VR22_lowess_95_perc_ci_top,RNA_flow_per_capita_VR22_lowess,RNA_flow_per_capita_VR23_lowess_95_perc_ci_bottom,RNA_flow_per_capita_VR23_lowess_95_perc_ci_top,RNA_flow_per_capita_VR23_lowess,RNA_flow_per_capita_VR24_lowess_95_perc_ci_bottom,RNA_flow_per_capita_VR24_lowess_95_perc_ci_top,RNA_flow_per_capita_VR24_lowess,RNA_flow_per_capita_VR25_lowess_95_perc_ci_bottom,RNA_flow_per_capita_VR25_lowess_95_perc_ci_top,RNA_flow_per_capita_VR25_lowess
2020-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-04,542866.9820688101,1007874.9281956672,775370.9551322387,,,0.0,,,0.0,4948.665039800272,8611.004208996768,6779.83462439852,,,0.0,,,0.0,44779.16424291321,78474.74159847287,61626.952920693046,7276.42976024181,11506.220631970382,9391.325196106096,1036360.4393871098,3232415.1941671446,2134387.8167771273,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,780432.2593951562,893727.8404640906,837080.0499296234,,,0.0,,,0.0,,,0.0,,,0.0,185240.4798369642,286515.3568767435,235877.91835685383,807552.9012104324,1548298.1572475736,1177925.529229003,46.153941306881734,76.26626659467144,61.210103950776585,13079.202145919737,21241.90273619729,17160.552441058513,211023.80636224273,341656.1260698648,276339.96621605376,1121904.4817518909,1144625.1434238087,1133264.8125878498
2020-06-05,515313.61943023157,953404.7127937772,734359.1661120044,,,0.0,,,0.0,6216.918016454962,10113.330998503563,8165.124507479262,,,0.0,,,0.0,48030.099120678904,81828.97358084188,64929.53635076039,7741.002644015705,12052.964393820981,9896.983518918343,1001166.5638721506,3041572.5945357583,2021369.5792039544,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,824116.9887511596,939848.3814534574,881982.6851023085,,,0.0,,,0.0,,,0.0,,,0.0,229013.78293706564,339033.2046808608,284023.4938089632,815695.7827757783,1543037.8578200443,1179366.8202979113,49.12679169354119,79.8849105211962,64.5058511073687,13928.100233767338,22240.952713868795,18084.526473818067,225377.1065415971,357045.4410454961,291211.2737935466,1062088.045747188,1083484.4747103057,1072786.2602287468
2020-06-06,483094.20003671315,892277.3732604806,687685.7866485969,,,0.0,,,0.0,7267.681594826148,11404.941346586611,9336.31147070638,,,0.0,,,0.0,50204.14629667763,83843.26405317274,67023.70517492518,8037.045725407304,12399.324321184144,10218.185023295724,954357.7986671601,2833997.72826044,1894177.7634637998,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,851918.0046218658,968939.2205722412,910428.6125970535,,,0.0,,,0.0,,,0.0,,,0.0,265250.8503845104,384191.0878085802,324720.9690965453,809508.4297653863,1518637.5365693516,1164072.983167369,51.05288098615655,82.14583735542827,66.59935917079241,14475.217825148036,22867.67519104816,18671.4465080981,234794.28069668566,366514.3316457805,300654.30617123307,994207.1545859262,1014178.5771452618,1004192.865865594
2020-06-07,447682.0531615004,826974.9652207227,637328.5091911115,,,0.0,,,0.0,8096.894670678248,12456.688618328859,10276.791644503553,,,0.0,,,0.0,51324.07698838964,84537.23909851171,67930.65804345068,8170.060046882595,12546.16287728326,10358.111462082927,898822.8204404801,2617511.3845046675,1758167.1024725738,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,864158.3497945416,981267.6322752073,922712.9910348745,,,0.0,,,0.0,,,0.0,,,0.0,293817.71676019736,420970.062719842,357393.8897400197,790438.9529056654,1477063.7165467406,1133751.334726203,51.95975301939834,83.06297838170624,67.51136570055229,14729.609208931677,23124.644257399686,18927.12673316568,239393.01850156498,370133.3658920836,304763.1921968243,921264.698957701,939772.8754317195,930518.7871947102
2020-06-08,411706.9731081275,761622.3862689822,586664.6796885548,,,0.0,,,0.0,8710.746710305748,13261.45889506434,10986.102802685044,,,0.0,,,0.0,51515.285972045356,84093.3517970593,67804.31888455233,8161.608632658848,12518.7882610622,10340.198446860524,839457.5731172421,2402864.0881823655,1621160.8306498039,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,862865.7317254756,979053.0978740422,920959.4147997589,,,0.0,,,0.0,,,0.0,,,0.0,314934.7563905042,449121.2114898211,382027.98394016264,761798.7122179323,1423341.9546123047,1092570.3334151185,51.97666608699135,82.81256776374929,67.39461692537031,14729.26862883699,23059.513837390943,18894.391233113965,239767.93789065426,368690.1279782749,304229.0329344646,848467.2732368506,865561.1866965491,857014.2299666998
2020-06-09,378503.9651900735,700963.5074287087,539733.7363093911,,,0.0,,,0.0,9133.280959690848,13841.852248215,11487.566603952924,,,0.0,,,0.0,51045.16684832508,82895.76658148633,66970.4667149057,8055.043755920238,12373.30948441443,10214.176620167334,780260.6239627023,2198455.582153483,1489358.1030580925,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,852314.7501843706,967047.1863639198,909680.9682741452,,,0.0,,,0.0,,,0.0,,,0.0,329457.81243437424,469417.7109188426,399437.7616766084,729457.8832726986,1366103.3799340755,1047780.6316033871,51.37020703250339,81.77627696073212,66.57324199661775,14551.674301010673,22776.552411417848,18664.11335621426,237170.7451219419,363866.54124832375,300518.6431851328,782007.6076443158,797805.8081950746,789906.7079196952
2020-06-10,348793.8250327457,646550.3202892529,497672.0726609993,,,0.0,,,0.0,9419.258576525142,14263.88923237516,11841.573904450152,,,0.0,,,0.0,50408.17082563246,81604.21307871744,66006.19195217495,7927.85475455286,12208.474091954118,10068.164423253489,726084.3242912006,2010654.6883656064,1368369.5063284035,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,840156.691477214,953664.5497352039,896910.6206062089,,,0.0,,,0.0,,,0.0,,,0.0,339328.30597284844,484131.8123923185,411730.05918258347,701738.6439647425,1316843.1885600614,1009290.916262402,50.62481867484936,80.61831989160882,65.62156928322909,14337.073777999674,22457.553524623658,18397.313651311666,233903.07711484842,358562.23240032105,296232.65475758474,723075.5252817029,737759.9563284051,730417.740805054
2020-06-11,321138.9497254704,596972.6615502321,459055.80563785124,,,0.0,,,0.0,9683.693772711946,14668.809469605976,12176.251621158961,,,0.0,,,0.0,50327.87513071395,81112.61653320532,65720.24583195963,7890.2403906503605,12161.075395233307,10025.657892941834,675480.0619702912,1836159.7916293344,1255819.9267998128,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,837324.1982494415,950781.5127102857,894052.8554798636,,,0.0,,,0.0,,,0.0,,,0.0,348563.3674911106,498184.98620586214,423374.17684848636,683490.0343076536,1283444.1450298466,983467.0896687501,50.44280455947763,80.24620392691644,65.34450424319704,14284.742522726216,22354.581253756845,18319.66188824153,233271.84153304208,356772.3606201538,295022.10107659793,670435.815366836,684203.8956754222,677319.8555211291
2020-06-12,291332.69709790195,546688.0380250884,419010.36756149516,,,0.0,,,0.0,10120.90485569511,15294.841398373654,12707.873127034381,,,0.0,,,0.0,51079.778824403424,81806.6867758791,66443.23280014127,7980.125295484472,12294.263012359024,10137.194153921748,620163.4985681921,1658999.3995054187,1139581.4490368054,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,848675.9886046528,964233.4363780093,906454.712491331,,,0.0,,,0.0,,,0.0,,,0.0,363936.8041898166,519919.6401324888,441928.2221611527,674307.704121914,1267723.8643944247,971015.7842581694,51.082515669846956,81.06031829149082,66.07141698066889,14462.578542199974,22584.463241811005,18523.52089200549,236499.0296016864,360321.43500941386,298410.23230555013,619585.3603309679,632586.5939381672,626085.9771345676
2020-06-13,243784.25574757613,472820.62652189576,358302.44113473594,,,0.0,,,0.0,10775.849907198492,16210.435081259493,13493.142494228992,,,0.0,,,0.0,51955.212790555815,82673.57422654648,67314.39350855115,8079.622209982347,12463.560305578347,10271.591257780346,528829.550541044,1418056.1409819673,973442.8457615057,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,864275.1248183212,983917.0499523085,924096.0873853149,,,0.0,,,0.0,,,0.0,,,0.0,386969.3062497065,551946.5368560713,469457.9215528889,655792.2123015921,1245248.4522107693,950520.3322561807,51.81877509450744,82.07575671304429,66.94726590377586,14661.365724361054,22877.0721655681,18769.218944964578,240259.05681068526,364956.15271990484,302607.60476529505,543690.3169906223,555648.2464958865,549669.2817432544
2020-06-14,173406.59838530252,356841.96092430415,265124.27965480334,,,0.0,,,0.0,10149.696250652994,15315.521119280927,12732.608684966961,,,0.0,,,0.0,46123.2281274532,73710.8746681647,59917.05139780895,7146.441414125145,11141.180114552406,9143.810764338776,389954.466074072,1078069.783193265,734012.1246336686,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,771026.7191355216,880729.8474885471,825878.2833120343,,,0.0,,,0.0,,,0.0,,,0.0,364228.6446251279,522149.7819729458,443189.21329903684,543616.9003817451,1068593.6439186845,806105.2721502148,45.865478759578934,73.32782742537074,59.59665309247484,12974.616932183751,20442.380688692545,16708.49881043815,212691.92599245984,326348.9389233164,269520.43245788815,404844.3229533891,414513.5071567266,409678.91505505785
